id,rank,role,business_unit,location,education,age,isolate,degree,weighted_degree,constraint,log_constraint,betweenness,clustering,mean_path_len,core89,salary_resid,evaluation,promoted_or_aboveavg,responded,idea_expressed,idea_discussed,idea_value,idea_dismissed,idea_length,seq_order
E0014,Exec,Purchasing,HQ,Other,Bachelor,43,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-1.4207052000632934,Good,False,True,True,False,1.6281399221866089,False,593.0,37.0
E0015,Exec,Purchasing,HQ,Other,Bachelor,55,False,2,1.8599999999999999,50.28326974216674,3.9176724122792184,0.007326007326007326,0.0,8.637362637362637,False,-0.6025387890151245,Good,True,True,False,False,,,,
E0016,Exec,Purchasing,HQ,Urban2,Bachelor,45,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-1.4387461572815976,Poor,False,False,False,False,,,,
E0017,Exec,Internal,HQ,Other,Less,57,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-1.7428569319493952,Good,True,True,False,False,,,,
E0018,Exec,Internal,HQ,Other,Bachelor,48,False,1,1.0,100.0,4.605170185988092,0.0,0.0,,False,-2.925916617130191,Good,True,True,False,False,,,,
E0019,Exec,Internal,HQ,Other,Bachelor,44,False,1,0.86,100.0,4.605170185988092,0.0,0.0,,False,-1.8476217796045193,Good,True,False,False,False,,,,
E0020,Exec,Purchasing,HQ,Other,Bachelor,47,False,1,0.86,100.0,4.605170185988092,0.0,0.0,9.633699633699633,False,-0.9952877227832018,Outstanding,False,False,False,False,,,,
E0021,Exec,Internal,HQ,Other,Bachelor,34,False,1,1.0,100.0,4.605170185988092,0.0,0.0,,False,-2.3209097079434255,Good,False,False,False,False,,,,
E0022,Exec,Purchasing,HQ,Other,Bachelor,49,False,3,2.36,35.72249353634014,3.575780561420112,0.02187028657616893,0.0,7.648351648351649,False,-0.17494068588027967,Good,False,True,False,False,,,,
E0023,Exec,Internal,BU_C,Other,Bachelor,49,False,6,4.88,17.064465197527547,2.8369982427247558,0.0,0.0,,False,-1.259643876110146,Good,False,True,False,False,,,,
E0024,Exec,Internal,BU_D,Urban2,Bachelor,55,False,10,8.39,13.365272851900581,2.5926597647884453,0.010741311734644208,0.08888888888888889,5.47985347985348,True,-0.642194055450816,Good,True,True,False,False,,,,
E0025,Exec,Internal,HQ,Urban1,Bachelor,39,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-1.6609484646310788,Good,False,True,False,False,,,,
E0026,SrMgr,Internal,BU_A,Urban1,Graduate,57,False,4,3.7199999999999998,25.14163487108337,3.224525231719273,0.0016218640206794423,0.0,5.274725274725275,False,-1.4683267646390366,Good,False,True,True,True,1.4778463239857942,True,521.0,87.0
E0027,SrMgr,Internal,BU_E,Other,Less,55,False,7,6.02,15.807015030321908,2.760453830759734,0.0029522687076053936,0.047619047619047616,5.322344322344322,False,-0.24388352782812828,Good,False,True,True,False,1.0,True,995.0,97.0
E0028,SrMgr,Internal,BU_A,Urban2,Less,58,False,8,6.9399999999999995,15.906861736619474,2.7667505718950114,0.004448805250623305,0.14285714285714285,5.106227106227106,True,-0.9719590066552692,Good,True,True,False,False,,,,
E0029,SrMgr,Internal,BU_D,Urban1,Bachelor,50,False,9,8.01,12.446202002385315,2.521415516321062,0.01155167426563329,0.027777777777777776,5.472527472527473,True,-1.0874049180909617,Good,False,True,True,True,3.6473860045234288,True,274.0,181.0
E0030,SrMgr,Internal,BU_E,Urban1,Bachelor,56,False,3,2.86,33.4930803462272,3.511338860666182,0.001190401479882947,0.0,5.212454212454213,False,-2.365572263012108,Outstanding,False,False,False,False,,,,
E0031,SrMgr,Purchasing,BU_E,Urban1,Bachelor,41,False,9,8.3,12.02544611579293,2.487024914330112,0.018393261283429756,0.027777777777777776,5.08058608058608,True,0.4144757584462122,Good,True,False,False,False,,,,
E0032,SrMgr,Internal,BU_B,Urban2,Bachelor,54,False,2,1.65,52.249770431588615,3.9560354971814617,0.0,0.0,,False,-0.7869029756200075,Good,True,True,True,False,2.7260855411367793,True,314.0,5.0
E0033,SrMgr,Purchasing,HQ,Urban1,Graduate,45,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-0.1464354659090652,Outstanding,True,True,False,False,,,,
E0034,SrMgr,Purchasing,BU_B,Urban2,Graduate,40,False,10,8.8,12.089064847558676,2.492301312384364,0.0,0.0,,True,-0.06432557757968071,Good,False,True,True,False,3.2190946575002544,False,179.0,144.0
E0035,SrMgr,Internal,BU_D,Urban2,Bachelor,43,False,3,2.86,33.4930803462272,3.511338860666182,0.0012124614803186232,0.0,5.721611721611722,False,0.07223492058944403,Poor,False,False,False,False,,,,
E0036,SrMgr,Internal,BU_E,Urban1,Bachelor,50,False,4,3.58,25.114696794731756,3.2234532044527144,0.005233869183338907,0.0,4.816849816849817,False,-1.0395920116025095,Outstanding,True,False,False,False,,,,
E0037,SrMgr,Purchasing,BU_C,Other,Bachelor,45,False,4,3.37,25.550106102897807,3.2406414693963868,0.0,0.0,,False,-1.6088472222100139,Good,True,True,False,False,,,,
E0038,SrMgr,Purchasing,BU_A,Urban2,Bachelor,52,False,6,5.37,20.773379980230295,3.0336723584100085,0.0015488699970086616,0.13333333333333333,5.413919413919414,False,-0.07284945889229266,Poor,False,False,False,False,,,,
E0039,SrMgr,Purchasing,BU_D,Urban1,Graduate,39,False,7,5.52,18.09324195300334,2.8955384957885686,0.008979311496009806,0.09523809523809523,5.0989010989010985,False,-0.4879685785917115,Poor,False,False,False,False,,,,
E0040,SrMgr,Internal,BU_C,Urban2,Bachelor,37,False,6,4.67,18.333197542722598,2.9087134897763454,0.0,0.0,,False,-0.9081991659995702,Outstanding,True,False,False,False,,,,
E0041,SrMgr,Purchasing,BU_C,Other,Bachelor,58,False,7,6.16,14.329988193624555,2.6623544179475256,0.0,0.0,,False,-0.012571498170112716,Poor,True,True,False,False,,,,
E0042,SrMgr,Internal,HQ,Other,Bachelor,55,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-0.7053426206571654,Outstanding,False,True,False,False,,,,
E0043,SrMgr,Internal,BU_C,Other,Bachelor,44,False,5,4.16,30.80729429885296,3.4277514898250687,0.0,0.0,,False,-0.23829336607075824,Good,False,True,True,True,1.3384413581531769,True,156.0,94.0
E0044,SrMgr,Internal,BU_D,Other,Bachelor,50,False,4,3.36,26.481009070294782,3.276427837227003,0.002303374155262534,0.0,5.611721611721611,False,-1.3709616690083974,Good,True,True,True,True,1.5233319834150918,False,368.0,159.0
E0045,SrMgr,Internal,BU_D,Urban1,Less,56,False,6,4.73,17.392917324084046,2.856063073013008,0.013478802327230987,0.0,5.212454212454213,False,0.11311890879475262,Good,False,False,False,False,,,,
E0046,SrMgr,Purchasing,BU_A,Urban2,Less,53,False,7,5.66,15.633963374082594,2.749445687086081,0.007829681646129742,0.047619047619047616,4.813186813186813,False,-0.5531306106159555,Good,True,False,False,False,,,,
E0047,SrMgr,Purchasing,BU_B,Other,Less,51,False,3,2.16,45.26103594102078,3.812446528609397,0.0,0.0,,False,-0.0030801856572745256,Good,True,True,False,False,,,,
E0048,SrMgr,Internal,BU_A,Other,Graduate,57,False,7,5.51,18.98920399257425,2.943870606756295,0.05269847817350447,0.09523809523809523,4.194139194139194,False,0.0890032029747726,Good,False,True,False,False,,,,
E0049,SrMgr,Purchasing,BU_C,Other,Graduate,46,False,4,3.01,26.62332645335041,3.2817877658418633,0.0,0.0,,False,-0.17594895837994962,Good,False,True,False,False,,,,
E0050,SrMgr,Purchasing,BU_D,Other,Bachelor,50,False,3,2.7199999999999998,33.50994809688582,3.511842352863681,0.004058885769216963,0.0,5.582417582417582,False,-0.780156818372272,Good,True,True,True,False,2.1654254512917577,True,519.0,41.0
E0051,SrMgr,Purchasing,BU_B,Other,Bachelor,50,False,2,1.51,50.967062848120705,3.931179597581117,0.0,0.0,,False,-0.2895374633312516,Poor,True,True,True,True,1.2125923893974535,False,347.0,131.0
E0052,SrMgr,Purchasing,BU_C,Urban1,Bachelor,48,False,12,10.04,8.579625720226664,2.149390290197184,0.0,0.0,,True,0.3476718295007547,Outstanding,True,False,False,False,,,,
E0053,SrMgr,Internal,BU_D,Urban2,Graduate,48,False,3,2.36,44.657010356802914,3.799011301869505,0.001135045456597604,0.3333333333333333,5.714285714285714,False,-0.33508925460547107,Good,False,True,False,False,,,,
E0054,SrMgr,Internal,BU_C,Urban1,Graduate,50,False,4,3.58,25.114696794731756,3.2234532044527144,0.0,0.0,,False,-0.5028724988605973,Good,True,True,False,False,,,,
E0055,SrMgr,Internal,BU_A,Urban1,Graduate,50,False,5,4.16,26.98311229546183,3.2952111997775786,0.002657757574093286,0.2,5.13919413919414,False,-0.16074804893653244,Poor,False,False,False,False,,,,
E0056,SrMgr,Internal,BU_E,Urban1,Graduate,44,False,3,2.36,35.722493536340146,3.575780561420112,0.019898380583513727,0.0,4.644688644688645,False,-1.0831492590783505,Good,True,True,True,False,1.1045326348973148,True,111.0,65.0
E0057,SrMgr,Internal,BU_D,Other,Bachelor,55,False,10,9.08,11.924839337866509,2.4786235639680503,0.09017297982754516,0.044444444444444446,4.4322344322344325,True,0.5640679720916265,Good,False,False,False,False,,,,
E0058,SrMgr,Purchasing,BU_C,Urban2,Bachelor,44,False,7,5.53,20.062427678748815,2.9988487960861705,0.0,0.0,,False,-1.7770489282987572,Good,False,True,True,True,3.015618642618323,False,263.0,115.0
E0059,SrMgr,Internal,HQ,Other,Graduate,49,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-0.8969521326296056,Good,True,False,False,False,,,,
E0060,SrMgr,Internal,BU_D,Urban1,Less,48,False,4,3.51,25.666187774449885,3.2451744748731928,0.004345227775044658,0.0,5.586080586080586,False,-0.9332054379885588,Outstanding,False,False,False,False,,,,
E0061,SrMgr,Purchasing,BU_A,Other,Bachelor,52,False,9,7.4399999999999995,13.937534000161033,2.6345854886907993,0.016643684225728175,0.05555555555555555,4.783882783882784,True,-0.9755412830671901,Good,False,True,True,True,2.2603898785853387,True,116.0,128.0
E0062,SrMgr,Internal,BU_B,Other,Graduate,37,False,2,1.72,50.0,3.912023005428146,0.0,0.0,,False,-0.5687674009701589,Good,True,True,True,False,1.0,True,159.0,35.0
E0063,SrMgr,Purchasing,BU_E,Urban2,Less,55,False,6,5.23,25.25641787691109,3.2290802967678105,0.00783903396011847,0.2,5.1501831501831505,False,-1.4336489834027004,Good,False,False,False,False,,,,
E0064,SrMgr,Purchasing,BU_B,Other,Graduate,46,False,7,5.73,19.067273606472707,2.9479734417183088,0.0,0.0,,False,0.9167578506184548,Good,False,False,False,False,,,,
E0065,SrMgr,Purchasing,BU_B,Other,Graduate,57,False,5,3.88,23.419249267317888,3.153558302460143,0.0,0.0,,False,-1.5771854673167955,Good,False,False,False,False,,,,
E0066,SrMgr,Purchasing,BU_C,Urban2,Less,47,False,7,6.37,14.544482205392722,2.6772116918217534,0.0,0.0,,True,-1.2013299546408178,Outstanding,False,False,False,False,,,,
E0067,SrMgr,Purchasing,BU_C,Urban1,Bachelor,50,False,3,2.65,34.49626201495194,3.540850970774614,0.0,0.0,,False,-1.44014874049583,Good,True,True,False,False,,,,
E0068,SrMgr,Internal,HQ,Other,Bachelor,61,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-0.782085355699184,Good,True,True,False,False,,,,
E0069,SrMgr,Internal,HQ,Urban2,Less,48,False,1,0.5,100.0,4.605170185988092,0.0,0.0,8.644688644688644,False,-0.21085316295223877,Outstanding,False,False,False,False,,,,
E0070,SrMgr,Purchasing,BU_A,Other,Graduate,57,False,4,3.58,25.11469679473175,3.223453204452714,0.004174370209982443,0.0,4.937728937728938,False,-0.27648580708171655,Good,False,False,False,False,,,,
E0071,SrMgr,Internal,BU_D,Urban2,Less,50,False,8,6.74,13.320791286736188,2.5893260692589073,0.021579306329970942,0.03571428571428571,4.794871794871795,True,0.5127757906700093,Good,False,True,True,True,2.6840834530338413,True,629.0,70.0
E0072,SrMgr,Purchasing,BU_E,Urban2,Bachelor,52,False,9,8.72,12.360583130386221,2.514512629750495,0.0831688083185544,0.05555555555555555,4.322344322344322,True,-1.0819901577477662,Good,True,True,True,True,1.9995657041116843,False,86.0,173.0
E0073,SrMgr,Internal,BU_A,Urban2,Bachelor,50,False,5,3.51,24.31521972721112,3.191102480508775,0.0036553810435495,0.1,4.875457875457876,False,-0.17711547233288744,Good,True,True,True,False,1.0,True,914.0,168.0
E0074,SrMgr,Purchasing,BU_C,Other,Bachelor,55,False,12,10.03,9.382100910131584,2.238803715564858,0.0,0.0,,True,-0.6602363881791449,Good,True,False,False,False,,,,
E0075,SrMgr,Purchasing,BU_E,Urban1,Bachelor,46,False,7,6.23,15.771368167598784,2.7581961548273717,0.0023592142524896617,0.047619047619047616,5.791208791208791,False,-0.39198734626087384,Good,False,False,False,False,,,,
E0076,SrMgr,Internal,HQ,Urban1,Bachelor,44,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-0.14495727215871235,Good,True,False,False,False,,,,
E0077,SrMgr,Internal,BU_D,Other,Bachelor,46,False,6,4.6,19.567546680879097,2.973872412327285,0.00975519722234176,0.06666666666666667,5.142857142857143,False,-1.7793637052512086,Poor,False,False,False,False,,,,
E0078,SrMgr,Internal,BU_A,Other,Graduate,51,False,6,4.58,18.529427601465763,2.919360149451331,0.005977339077171573,0.06666666666666667,4.794871794871795,False,0.8098339645613644,Good,True,True,True,True,1.292981238198521,True,294.0,134.0
E0079,SrMgr,Internal,BU_E,Urban2,Bachelor,49,False,6,4.4399999999999995,17.543218894570252,2.86466748747111,0.002123229619416347,0.0,5.1208791208791204,False,-0.6746042961770087,Good,True,False,False,False,,,,
E0080,SrMgr,Internal,BU_E,Urban2,Less,54,False,8,6.74,13.597962783323817,2.6099199861777262,0.004356169736150952,0.03571428571428571,5.333333333333333,True,-1.64662325227735,Good,True,True,True,True,1.7939375475960666,False,144.0,16.0
E0081,SrMgr,Purchasing,BU_A,Other,Bachelor,58,False,6,4.3100000000000005,17.53382033903779,2.8641316066805573,0.004021861041986735,0.0,4.86080586080586,False,-1.0578195817762175,Outstanding,False,True,True,False,2.329040360973478,True,210.0,192.0
E0082,SrMgr,Purchasing,BU_B,Other,Bachelor,44,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-0.8494203747513778,Outstanding,True,True,True,False,1.5688710930478629,False,124.0,122.0
E0083,SrMgr,Purchasing,BU_B,Other,Graduate,46,False,5,4.16,20.71352625739645,3.0307869292571072,0.0,0.0,,False,-1.091310619064773,Good,False,False,False,False,,,,
E0084,SrMgr,Purchasing,BU_A,Urban1,Less,41,False,8,7.09,15.37034851722838,2.7324402324546746,0.004924848307574482,0.10714285714285714,5.014652014652015,True,-1.9800131118461994,Good,True,True,False,False,,,,
E0085,SrMgr,Purchasing,BU_A,Urban2,Bachelor,62,False,7,5.87,14.951141861281775,2.7047876756010476,0.011057736398780731,0.0,4.52014652014652,False,-0.4731981918583045,Outstanding,True,True,False,False,,,,
E0086,SrMgr,Internal,BU_D,Other,Bachelor,52,False,6,4.25,17.231833910034606,2.846758481906267,0.0028257129370170787,0.0,5.556776556776557,False,-1.0745763908532915,Good,False,True,False,False,,,,
E0087,SrMgr,Purchasing,BU_D,Other,Graduate,53,False,6,4.87,17.50523888029212,2.862500200716952,0.008811398073480092,0.0,5.531135531135531,False,-0.11670207361376084,Good,True,True,True,False,2.9344120407741294,False,136.0,111.0
E0088,SrMgr,Internal,BU_E,Other,Less,42,False,3,2.2199999999999998,35.086437789140504,3.5578146680310554,0.0010171881468339138,0.0,5.582417582417582,False,-1.4594340859795576,Good,False,False,False,False,,,,
E0089,SrMgr,Internal,BU_E,Other,Graduate,50,False,10,8.46,11.738179912618365,2.462846769384361,0.035673367916258025,0.06666666666666667,4.615384615384615,True,1.0905013321882042,Good,False,False,False,False,,,,
E0090,SrMgr,Internal,HQ,Other,Bachelor,53,False,1,0.86,100.0,4.605170185988092,0.0,0.0,,False,-0.5614936820849852,Good,False,True,False,False,,,,
E0091,SrMgr,Internal,BU_A,Other,Less,48,False,9,7.52,12.52316682046397,2.527580274619415,0.007157357785202236,0.027777777777777776,4.985347985347985,True,-0.36775994452446825,Good,False,True,True,False,1.9961965555355101,True,210.0,12.0
E0092,SrMgr,Purchasing,BU_D,Other,Graduate,56,False,7,5.88,14.646096533851635,2.684173851758194,0.01313360603462672,0.0,5.227106227106227,False,-0.10064837878080096,Good,True,False,False,False,,,,
E0093,SrMgr,Purchasing,BU_B,Urban2,Graduate,64,False,2,1.51,50.967062848120705,3.931179597581117,0.0,0.0,,False,-2.0612945545859223,Good,False,True,True,False,1.4695127254493374,False,159.0,2.0
E0094,SrMgr,Internal,BU_D,Other,Bachelor,44,False,5,4.65,20.453231587466757,3.0181408938413647,0.0029833406402657637,0.0,5.549450549450549,False,-0.9514988533103642,Good,True,True,True,True,2.679408808876225,True,104.0,182.0
E0095,SrMgr,Internal,BU_C,Urban1,Less,44,False,7,6.86,15.10997127711175,2.7153548753636985,0.0,0.0,,True,0.7050435644281682,Good,True,True,True,False,2.6467711823888385,False,171.0,129.0
E0096,SrMgr,Purchasing,BU_D,Urban2,Less,45,False,5,4.02,30.193800534055804,3.407636622978655,0.0015124225162212752,0.2,5.6007326007326,False,-0.9056202080474396,Poor,True,True,False,False,,,,
E0097,SrMgr,Purchasing,BU_B,Urban1,Graduate,60,False,6,5.16,20.520597300188086,3.021429128075234,0.0,0.0,,False,-0.6482638977427582,Good,True,True,False,False,,,,
E0098,SrMgr,Internal,BU_B,Other,Bachelor,56,False,5,3.45,21.151018693551784,3.051688069512135,0.0,0.0,,False,-0.9368872514276252,Good,False,True,False,False,,,,
E0099,SrMgr,Internal,BU_C,Urban2,Less,49,False,11,10.72,9.488006563179246,2.250028533989874,0.0,0.0,,True,0.5751499370425697,Good,False,False,False,False,,,,
E0100,SrMgr,Purchasing,BU_B,Other,Bachelor,50,False,1,0.86,100.0,4.605170185988092,0.0,0.0,,False,-1.0922780471270606,Good,True,True,False,False,,,,
E0101,SrMgr,Internal,BU_D,Other,Less,45,False,6,4.87,20.761282659768067,3.0330898415416683,0.010375206574000153,0.13333333333333333,5.241758241758242,False,-1.4829026791746251,Good,False,True,False,False,,,,
E0102,SrMgr,Internal,BU_E,Urban1,Less,55,False,7,5.74,14.57890711311294,2.679575765822667,0.006493704296691578,0.0,5.095238095238095,False,1.2692554326215058,Good,False,False,False,False,,,,
E0103,SrMgr,Purchasing,BU_B,Urban2,Less,48,False,8,6.81,16.984308628867733,2.8322898959779454,0.0,0.0,,True,-1.5289743871954222,Outstanding,True,True,False,False,,,,
E0104,SrMgr,Internal,BU_C,Urban1,Graduate,48,False,6,5.23,16.968219091942714,2.8313421292454235,0.0,0.0,,False,-0.6344345864728309,Good,False,False,False,False,,,,
E0105,SrMgr,Purchasing,BU_D,Other,Bachelor,54,False,7,5.87,20.58746705659026,3.0246824953368567,0.005617006938707531,0.14285714285714285,5.278388278388278,False,-1.1941925113528145,Good,False,True,False,False,,,,
E0106,SrMgr,Internal,HQ,Urban1,Graduate,49,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-1.412154793617674,Good,False,False,False,False,,,,
E0107,SrMgr,Internal,BU_E,Urban1,Less,49,False,2,1.51,60.898723659038126,4.1092122165165605,0.0,1.0,5.542124542124542,False,-1.5637251559349648,Good,False,False,False,False,,,,
E0108,SrMgr,Purchasing,BU_B,Urban1,Less,50,False,5,3.67,20.392905137019355,3.0151870529570943,0.0,0.0,,False,-0.9810319232347702,Good,True,True,True,False,2.0055468608741926,True,79.0,126.0
E0109,SrMgr,Internal,BU_C,Other,Bachelor,55,False,6,5.23,16.968219091942714,2.8313421292454235,0.0,0.0,,False,0.12255485064483362,Poor,False,False,False,False,,,,
E0110,SrMgr,Internal,BU_B,Urban2,Bachelor,60,False,4,3.7199999999999998,25.14163487108337,3.224525231719273,0.0,0.0,,False,-1.976295401907552,Good,False,True,False,False,,,,
E0111,SrMgr,Internal,BU_D,Other,Bachelor,54,False,1,1.0,100.0,4.605170185988092,0.0,0.0,5.8791208791208796,False,-0.03846872940950896,Good,False,True,False,False,,,,
E0112,SrMgr,Purchasing,BU_B,Other,Less,55,False,2,1.51,50.967062848120705,3.931179597581117,0.0,0.0,,False,-0.024357272824139575,Good,True,True,True,False,1.9241223176046187,True,82.0,196.0
E0113,SrMgr,Internal,BU_B,Other,Graduate,49,False,2,1.8599999999999999,50.28326974216674,3.9176724122792184,0.0,0.0,,False,-0.4271930123501356,Outstanding,False,True,False,False,,,,
E0114,SrMgr,Internal,BU_D,Urban2,Bachelor,46,False,3,2.36,35.722493536340146,3.575780561420112,0.0005754762158285107,0.0,5.5677655677655675,False,-0.6268367779848253,Good,False,True,False,False,,,,
E0115,SrMgr,Internal,BU_C,Urban1,Bachelor,54,False,4,3.36,34.5866056008605,3.5434664857504465,0.0,0.0,,False,-0.5150458628736144,Good,False,False,False,False,,,,
E0116,SrMgr,Purchasing,HQ,Other,Bachelor,51,False,1,0.86,100.0,4.605170185988092,0.0,0.0,,False,0.07535466399614577,Good,True,True,False,False,,,,
E0117,SrMgr,Internal,BU_C,Urban1,Graduate,41,False,6,4.72,17.86124676817007,2.8826333808601667,0.0,0.0,,False,-1.7985759903075755,Good,True,True,True,False,1.7041006331969457,False,81.0,4.0
E0118,SrMgr,Internal,BU_A,Other,Bachelor,48,False,5,3.66,21.160679626145903,3.0521447249122096,0.002267333793484978,0.0,5.186813186813187,False,-0.10132616209779288,Good,True,True,True,False,1.2208020983217465,True,645.0,151.0
E0119,SrMgr,Internal,BU_B,Other,Bachelor,50,False,4,3.7199999999999998,29.895759439797885,3.3977166455826353,0.0,0.0,,False,-1.2018636964098346,Good,False,True,True,False,3.0913006903962663,False,266.0,55.0
E0120,SrMgr,Internal,BU_B,Urban2,Bachelor,47,False,5,3.37,24.191368551340027,3.1859958981080263,0.0,0.0,,False,-0.05917591411237588,Good,True,True,True,True,1.536748680762187,True,304.0,81.0
E0121,SrMgr,Purchasing,BU_D,Other,Bachelor,59,False,10,8.74,10.21553236389152,2.323909342808958,0.07553296532651523,0.0,4.652014652014652,True,-0.8943021100896491,Poor,False,True,True,True,2.6009537041958524,False,201.0,53.0
E0122,SrMgr,Purchasing,BU_D,Urban2,Less,53,True,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-0.4262250640459356,Poor,False,True,True,False,1.0,True,285.0,91.0
E0123,SrMgr,Internal,BU_B,Urban1,Bachelor,58,False,5,3.73,20.781433058528414,3.0340599466487723,0.0,0.0,,False,-1.6907517238724534,Good,True,True,True,True,2.367565791155349,True,456.0,74.0
E0124,SrMgr,Internal,BU_E,Other,Bachelor,52,False,4,3.65,25.68962281854006,3.2460871289797577,0.0005952573356233142,0.0,5.472527472527473,False,-1.834018820817429,Good,False,True,True,True,1.1131287510147363,True,266.0,69.0
E0125,SrMgr,Purchasing,BU_C,Other,Graduate,50,False,6,5.72,16.7465401731136,2.8181916801062368,0.0,0.0,,False,-0.6427823243037512,Outstanding,True,True,False,False,,,,
E0126,SrMgr,Internal,BU_B,Other,Bachelor,44,False,3,2.36,35.72249353634014,3.575780561420112,0.0,0.0,,False,0.2897149060964901,Poor,True,False,False,False,,,,
E0127,SrMgr,Internal,BU_A,Urban2,Bachelor,50,False,5,3.37,25.190334229152512,3.226460358603312,0.0015823268363877039,0.1,5.564102564102564,False,-0.2698929769014852,Good,True,True,False,False,,,,
E0128,SrMgr,Purchasing,BU_C,Urban1,Bachelor,50,False,3,2.86,38.99566553662441,3.663450499866576,0.0,0.0,,False,-0.3623099760682063,Good,False,True,True,False,2.8681259389288267,True,631.0,9.0
E0129,SrMgr,Purchasing,HQ,Other,Graduate,42,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-0.31889836774130276,Good,False,True,False,False,,,,
E0130,SrMgr,Internal,BU_B,Other,Graduate,47,False,4,3.16,34.63506184167271,3.5448665169983884,0.0,0.0,,False,-0.9868567943248987,Good,True,True,False,False,,,,
E0131,SrMgr,Internal,HQ,Other,Graduate,48,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-0.49350983475245713,Good,False,False,False,False,,,,
E0132,SrMgr,Purchasing,BU_A,Urban1,Bachelor,52,False,6,6.0,17.923116275373978,2.8860912917234773,0.004736930850502345,0.06666666666666667,4.82051282051282,False,-0.9829893397477377,Outstanding,True,True,True,True,3.2662876937078735,False,195.0,153.0
E0133,SrMgr,Internal,HQ,Urban2,Less,53,False,1,1.0,100.0,4.605170185988092,0.0,0.0,,False,-1.1408444818653605,Good,False,True,False,False,,,,
E0134,SrMgr,Internal,HQ,Other,Graduate,47,False,0,0.0,100.0,4.605170185988092,0.0,0.0,,False,-1.0539286917432777,Outstanding,False,False,False,False,,,,
E0135,SrMgr,Internal,BU_B,Other,Bachelor,53,False,5,4.37,26.535673563854935,3.278489999935642,0.0,0.0,,False,-1.03756739668429,Good,False,True,True,True,2.1624176335129977,False,304.0,118.0
